1,1,1,1
ABP814319,Sophia,05-05-2006,2936505537
ABW656261, Sophia Anderson, 06-06-2005, 5286196096
ACH450714, John Smith, 06-06-2005, 8760813855
ACT914554, Emily Johnson, 10-10-2009, 2847009647
AEJ544548, Emma Brown, 03-03-2002, 4618895382
AEU184894, Daniel Jones, 08-08-2007, 1548851571
AFD157690, Daniel Jones, 03-03-2002, 9688719958
AFW666886, Emily Johnson, 03-03-2002, 1867110779
AGG591595, Emma Brown, 09-09-2008, 9996473463
AGS376438, John Smith, 08-08-2007, 8658012913
AHM094331, Olivia Davis, 03-03-2002, 7254727397
AHR072955, Ava Wilson, 08-08-2007, 5721817708
AIE581088, Emily Johnson, 05-05-2004, 5920010345
AKM797492, Emma Brown, 02-02-2001, 3198366452
AME573034, Joseph Taylor, 01-01-2000, 4349864256
AMT967183, Joseph Taylor, 04-04-2003, 0370217674
ANF082708, John Smith, 02-02-2001, 6256535958
ANI458701, Daniel Jones, 04-04-2003, 1302755014
ANK862505, John Smith, 06-06-2005, 1711622354
ANK950184, Olivia Davis, 05-05-2004, 0673058114
AOK993715, John Smith, 05-05-2004, 8703655525
AOL220378, Joseph Taylor, 02-02-2001, 3054235062
AOS014084, Matthew Miller, 05-05-2004, 9145834041
AOU849996, Michael Williams, 01-01-2000, 1076783268
APF631691, Sophia Anderson, 03-03-2002, 0558814192
APW239883, Joseph Taylor, 04-04-2003, 2886232261
AQC812939, Daniel Jones, 04-04-2003, 4535278116
AQV643013, Ava Wilson, 05-05-2004, 8934856043
ARJ676079, Olivia Davis, 06-06-2005, 3993606756
ARO141590, Ava Wilson, 10-10-2009, 0696521449
ASZ028646, Emma Brown, 04-04-2003, 0853314968
AUS742734, Joseph Taylor, 01-01-2000, 0599008876
AVA939586, Michael Williams, 02-02-2001, 1235331437
AVF089296, Emily Johnson, 08-08-2007, 3877232869
AVV542674, Michael Williams, 03-03-2002, 0497427021
AXM180131, Emily Johnson, 02-02-2001, 7855638552
AXU437907, Olivia Davis, 03-03-2002, 7249897912
AXW741484, Emily Johnson, 05-05-2004, 7267903139
AXY334225, Matthew Miller, 10-10-2009, 4910549144
BAB456341, Emma Brown, 01-01-2000, 4389857959
BAE216977, Emma Brown, 10-10-2009, 6201511205
BBC210713, Emma Brown, 09-09-2008, 6674249553
BBJ023834, Emma Brown, 10-10-2009, 6925736448
BBM893939, John Smith, 03-03-2002, 1923057076
BBY333933, Daniel Jones, 09-09-2008, 1093831284
BCB720064, Emma Brown, 04-04-2003, 4221048794
BDM586947, Ava Wilson, 10-10-2009, 1548456979
BDP912315, Daniel Jones, 03-03-2002, 4900758598
BDV121904, Daniel Jones, 05-05-2004, 6192055712
BDZ302624, Daniel Jones, 05-05-2004, 3266347376
BEO989177, Matthew Miller, 05-05-2004, 3094096301
BEZ100687, Sophia Anderson, 09-09-2008, 5308914800
BFH061444, Ava Wilson, 05-05-2004, 2764842797
BGR079451, Daniel Jones, 09-09-2008, 7986027972
BJT422764, Sophia Anderson, 05-05-2004, 8085863947
BJT523350, John Smith, 05-05-2004, 6141858088
BJV348160, Emily Johnson, 05-05-2004, 7005973495
BLA550262, Olivia Davis, 03-03-2002, 8532937403
BMG931167, Sophia Anderson, 07-07-2006, 6647795825
BNE757870, Michael Williams, 08-08-2007, 1036192896
BNL800536, Ava Wilson, 08-08-2007, 2899025348
BNP284637, Michael Williams, 10-10-2009, 5076453138
BPG464922, Olivia Davis, 03-03-2002, 1842710003
BPM542703, Matthew Miller, 05-05-2004, 6881675269
BRW337620, Michael Williams, 06-06-2005, 7990276575
BSV485343, Emily Johnson, 02-02-2001, 3801735359
BTK788349, Matthew Miller, 01-01-2000, 7540413508
BTQ920891, Joseph Taylor, 02-02-2001, 5764894216
BUV540009, Joseph Taylor, 02-02-2001, 8436482189
BUX991401, Daniel Jones, 02-02-2001, 8701169281
BWV797687, Emma Brown, 03-03-2002, 9340029019
BXP755702, Ava Wilson, 05-05-2004, 5571219262
BXX482045, Matthew Miller, 07-07-2006, 3668836286
BYK416365, Matthew Miller, 09-09-2008, 6002555222
BZO815964, Joseph Taylor, 05-05-2004, 7840290962
CAF793875, Daniel Jones, 08-08-2007, 5688905773
CCS929863, Ava Wilson, 02-02-2001, 8882308932
CDB293870, Emma Brown, 10-10-2009, 5190516493
CDH609622, Emma Brown, 10-10-2009, 3390800336
CGJ595051, Emily Johnson, 07-07-2006, 8878116365
CGK377962, Ava Wilson, 10-10-2009, 5413358363
CGU312535, Olivia Davis, 01-01-2000, 1140455122
CGW195090, Emily Johnson, 08-08-2007, 0950971651
CGZ460421, Joseph Taylor, 05-05-2004, 2098648681
CKC034607, Ava Wilson, 06-06-2005, 6414573554
CKN660249, Emily Johnson, 02-02-2001, 9249194997
CND596115, Sophia Anderson, 03-03-2002, 6748064538
COB743251, Sophia Anderson, 05-05-2004, 8053074175
COW740272, Matthew Miller, 02-02-2001, 7550483688
CPF622807, Emma Brown, 06-06-2005, 0112268580
CPN722877, Olivia Davis, 07-07-2006, 1489709859
CQJ656700, Emily Johnson, 01-01-2000, 0574358369
CQO109729, Joseph Taylor, 09-09-2008, 0026340525
CQV009257, Emma Brown, 04-04-2003, 4330942438
CTC284370, Olivia Davis, 10-10-2009, 5534887941
CTE654735, Daniel Jones, 04-04-2003, 2737443547
CUE019155, Emily Johnson, 08-08-2007, 9298182206
CUI512350, Daniel Jones, 07-07-2006, 5700114988
CUZ233483, Matthew Miller, 04-04-2003, 4180274099
CVM628506, John Smith, 04-04-2003, 8828866894
CWB865487, Ava Wilson, 10-10-2009, 1479657733
CXN091073, Ava Wilson, 04-04-2003, 9439015774
CXQ674924, Joseph Taylor, 04-04-2003, 0469318061
CXU826916, Ava Wilson, 03-03-2002, 1602175748
CYT109563, Emily Johnson, 05-05-2004, 6374909544
CZG361565, Olivia Davis, 10-10-2009, 9754426255
DAA194147, Michael Williams, 04-04-2003, 2936811179
DBI106941, Olivia Davis, 09-09-2008, 5254448341
DBR708070, Matthew Miller, 08-08-2007, 1952358678
DCC891011, Sophia Anderson, 05-05-2004, 7504124411
DDC634072, Sophia Anderson, 05-05-2004, 6887659397
DDW681866, Daniel Jones, 09-09-2008, 7740671202
DFC027953, Emma Brown, 03-03-2002, 5145489245
DGV701602, John Smith, 03-03-2002, 0362068830
DHO478969, Ava Wilson, 07-07-2006, 5967266554
DID234996, Michael Williams, 07-07-2006, 7746680518
DJK501772, Ava Wilson, 03-03-2002, 3428612449
DJV416630, Matthew Miller, 09-09-2008, 2007658693
DKC157866, Olivia Davis, 09-09-2008, 6609328624
DKH782136, Olivia Davis, 01-01-2000, 7924910177
DLA669985, Olivia Davis, 07-07-2006, 5970840729
DLB601447, Ava Wilson, 02-02-2001, 4157865431
DLQ986362, Ava Wilson, 05-05-2004, 8780503350
DMA775029, John Smith, 05-05-2004, 8103332167
DME419720, Michael Williams, 08-08-2007, 7022818685
DNT104308, Emily Johnson, 06-06-2005, 4713634547
DNW788988, Daniel Jones, 01-01-2000, 2769935739
DPD335712, Daniel Jones, 05-05-2004, 9768769646
DSS557514, Matthew Miller, 01-01-2000, 5879051418
DTI819652, Daniel Jones, 07-07-2006, 7671309033
DTV342203, Olivia Davis, 05-05-2004, 2486287422
DVN663273, Olivia Davis, 09-09-2008, 3019911570
DWI353462, Sophia Anderson, 05-05-2004, 2864202317
DWK075113, John Smith, 09-09-2008, 5830290294
DXC490159, Joseph Taylor, 02-02-2001, 1404150486
DXE302242, Ava Wilson, 07-07-2006, 8327662948
DXQ283158, John Smith, 08-08-2007, 0278348729
DXX630670, Emily Johnson, 07-07-2006, 2080882923
DYD318845, Olivia Davis, 10-10-2009, 3605520564
DYN334326, Daniel Jones, 10-10-2009, 7760202212
DZH380247, Sophia Anderson, 08-08-2007, 3599408522
DZK744641, Olivia Davis, 09-09-2008, 5103063950
EAJ686433, Michael Williams, 03-03-2002, 0982624566
EAR620043, Emily Johnson, 07-07-2006, 1218860041
EBV100129, Emily Johnson, 01-01-2000, 6709325615
EDS635988, Michael Williams, 08-08-2007, 1152147747
EDX700875, Matthew Miller, 03-03-2002, 4494601905
EEN057312, Sophia Anderson, 02-02-2001, 1034972241
EFM729784, Emma Brown, 04-04-2003, 8437587698
EHU127932, Daniel Jones, 06-06-2005, 7596822972
EIP362612, Daniel Jones, 06-06-2005, 8090752462
EIQ073058, Ava Wilson, 10-10-2009, 5111560106
EJU836412, Olivia Davis, 03-03-2002, 9986342393
EJV720045, Olivia Davis, 09-09-2008, 3040364745
EJY767126, Sophia Anderson, 07-07-2006, 4754557858
EKL397397, Ava Wilson, 01-01-2000, 8362138779
EKT328161, Daniel Jones, 01-01-2000, 2211255967
ELA900904, Olivia Davis, 03-03-2002, 5649610229
ELB210483, Joseph Taylor, 05-05-2004, 3840028805
ELL452911, Michael Williams, 01-01-2000, 2761872023
EME331077, Emily Johnson, 01-01-2000, 2922501912
ENG061193, Olivia Davis, 01-01-2000, 2056242303
EPA418373, Ava Wilson, 08-08-2007, 7954211674
EPY889245, Michael Williams, 04-04-2003, 8916355820
EQX591853, Ava Wilson, 04-04-2003, 2666834597
ERH284257, Olivia Davis, 05-05-2004, 9691583873
EST059040, Michael Williams, 05-05-2004, 1495046678
ESZ351986, Emily Johnson, 02-02-2001, 0565020667
EUF619305, John Smith, 06-06-2005, 5492120713
EXF951247, Daniel Jones, 08-08-2007, 3237475697
EXR057838, Olivia Davis, 03-03-2002, 1558457181
EYX930025, Emma Brown, 09-09-2008, 1698101068
EYY229401, Emily Johnson, 05-05-2004, 9279408296
EZJ021296, Emily Johnson, 10-10-2009, 4858608843
FAS973456, Matthew Miller, 06-06-2005, 5347945117
FBL413256, Ava Wilson, 02-02-2001, 5316622679
FBR044713, Matthew Miller, 10-10-2009, 3153034870
FCM188744, Ava Wilson, 05-05-2004, 9839708981
FCP916277, John Smith, 08-08-2007, 3448970998
FDD237886, Joseph Taylor, 06-06-2005, 8077906645
FGD622754, Matthew Miller, 08-08-2007, 5593938052
FHC121199, Joseph Taylor, 04-04-2003, 9962311791
FIB962619, Emma Brown, 05-05-2004, 0132210754
FIZ508910, Ava Wilson, 08-08-2007, 1245667243
FJG594207, Emma Brown, 04-04-2003, 8428182966
FJN065906, Joseph Taylor, 09-09-2008, 2123923431
FJX057193, Emma Brown, 01-01-2000, 7714095632
FKG354814, Matthew Miller, 03-03-2002, 3187045224
FKV267417, Daniel Jones, 02-02-2001, 5295165234
FLF433687, Olivia Davis, 05-05-2004, 1839778487
FMN972997, Joseph Taylor, 01-01-2000, 9812347526
FNR922376, Joseph Taylor, 10-10-2009, 3506874618
FNY518663, John Smith, 07-07-2006, 1005491880
FOO222546, Emma Brown, 05-05-2004, 8319097494
FPB868989, Matthew Miller, 10-10-2009, 4131042442
FQF834315, Ava Wilson, 06-06-2005, 0090375572
FRY922933, Emily Johnson, 04-04-2003, 0739061223
FSF874919, Ava Wilson, 06-06-2005, 0747416264
FSJ482502, Daniel Jones, 07-07-2006, 1937379899
FTP122136, Daniel Jones, 07-07-2006, 6237100039
FUK082159, John Smith, 03-03-2002, 0997008425
FUU702733, Emma Brown, 03-03-2002, 5251897656
FVK419015, Sophia Anderson, 03-03-2002, 5797317775
FVQ431793, Ava Wilson, 07-07-2006, 9422719604
FYC043017, Matthew Miller, 09-09-2008, 7297483982
FYH061011, Sophia Anderson, 10-10-2009, 8793616859
FYJ014524, Sophia Anderson, 10-10-2009, 6180871811
FYK625688, Joseph Taylor, 10-10-2009, 2509898982
FZE112970, John Smith, 02-02-2001, 3107530720
FZJ170954, Michael Williams, 03-03-2002, 0841784235
FZO742459, Joseph Taylor, 08-08-2007, 1093569751
GAN427242, Emma Brown, 09-09-2008, 6431656187
GAR920293, Matthew Miller, 02-02-2001, 2721387695
GAV488110, Daniel Jones, 01-01-2000, 7885426006
GBR345812, Joseph Taylor, 03-03-2002, 0509880892
GCU923498, Emily Johnson, 08-08-2007, 9897798303
GEG135297, John Smith, 04-04-2003, 5160050762
GEI296751, Sophia Anderson, 03-03-2002, 3348582546
GFC869100, John Smith, 09-09-2008, 8807745716
GFS439442, Joseph Taylor, 04-04-2003, 2288220565
GGN900005, Emily Johnson, 03-03-2002, 9147837450
GGP004856, Matthew Miller, 01-01-2000, 7897262479
GHT805537, Michael Williams, 01-01-2000, 3128252279
GIB464655, Emily Johnson, 05-05-2004, 6523690348
GIY772611, Daniel Jones, 04-04-2003, 8133724850
GJO893465, Joseph Taylor, 08-08-2007, 5992951385
GKF281218, John Smith, 06-06-2005, 3586741629
GKK303726, Michael Williams, 06-06-2005, 1201350725
GKY845531, Michael Williams, 03-03-2002, 3867426408
